dc:title,prism:doi,dc:creator,affilname,affiliation-city,affiliation-country
Green buildings for post carbon city: Determining market premium using spline smoothing semiparametric method,10.1007/978-3-030-48279-4_114,Del Giudice V.,Nottingham Business School,Nottingham,United Kingdom
Green building market premium: Detection through spatial analysis of real estate values. a case study,10.1007/978-3-030-48279-4_132,De Paola P.,Hong Kong Polytechnic University,Kowloon,Hong Kong
An application to a spanish case study of a property valuation models,10.1007/978-3-030-49579-4_6,Morano P.,Universidad de Castilla-La Mancha,Ciudad Real,Spain
Remote measurement of building usable floor area – Algorithms fusion,10.1016/j.landusepol.2020.104938,Janowski A.,Henan University of Economics and Law,Zhengzhou,China
Implementing a mass valuation application on interoperable land valuation data model designed as an extension of the national GDI,10.1080/00396265.2020.1771967,Aydinoglu A.C.,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Autonomous corrosion assessment of reinforced concrete structures: Feasibility study,10.3390/s20236825,Taffese W.Z.,Istituto Agronomico Mediterraneo di Bari,Valenzano,Italy
Hybridization of valuation procedures as a medicine supporting the real estate market and sustainable land use development during the covid-19 pandemic and afterwards,10.1016/j.landusepol.2020.105070,Renigier-Biłozor M.,Fontys University of Applied Sciences,Eindhoven,Netherlands
"Evaluation of Smart Response Systems for City Emergencies and Novel UV-Oriented Solution for Integration, Resilience, Inclusiveness and Sustainability",10.1109/UV50937.2020.9426215,Yang Z.,Yango University,Fuzhou,China
Urban cadastral situation in Ecuador: Analysis to determine the degree of proximity of the cadastral systems to the 3D cadastral model,10.3390/land9100357,Velastegui-Cáceres J.,Uniwersytet Szczecinski,Szczecin,Poland
Cadastral land value modelling based on zoning by prestige: A case study of a resort town,10.3390/SU12197904,Bykowa E.,Real Estate Artificial Intelligence Research Institute,Seoul,South Korea
Uncertainty in automated valuation models: Error-based versus model-based approaches,10.1080/09599916.2020.1807587,Krause A.,Kaunas University of Technology,Kaunas,Lithuania
Multi-source urban data fusion for property value assessment: A case study in Philadelphia,10.1016/j.neucom.2020.05.013,Bin J.,Cardiff University,Cardiff,United Kingdom
"Are MCDA methods benchmarkable? A comparative study of TOPSIS, VIKOR, COPRAS, and PROMETHEE II methods",10.3390/SYM12091549,Sałabun W.,Instituto de Tecnologia para o Desenvolvimento,Curitiba,Brazil
Analysis of the energy balance of constructions based on wood during their use in connection with CO<inf>2</inf> emissions,10.3390/en13184843,Švajlenka J.,Massey University,Palmerston North,New Zealand
Automated valuation methods through the cost approach in a BIM and GIS integration framework for smart city appraisals,10.3390/su12187546,Arcuri N.,National University of Singapore,Singapore City,Singapore
Data intelligence: Trends and challenges,10.12011/1000-6788-2020-0027-34,Wu J.,School of Civil and Environmental Engineering,Singapore City,Singapore
An innovative GIS-based territorial information tool for the evaluation of corporate properties: An application to the Italian context,10.3390/su12145836,Locurcio M.,Leuphana Universität Lüneburg,Luneburg,Germany
Applying comparable sales method to the automated estimation of real estate prices,10.3390/su12145679,Kim Y.,FAMU-FSU College of Engineering,Tallahassee,United States
Can digital technologies speed up real estate transactions?,10.1108/JPIF-09-2019-0131,Saull A.,"Fakultät für Informatik, Technische Universität München",Garching bei Munchen,Germany
Analytical Method for Correction Coefficient Determination for Applying Comparative Method for Real Estate Valuation,10.1515/remav-2020-0015,Gruaauskas V.,National University of Singapore,Singapore City,Singapore
Mass appraisal modeling of real estate in urban centers by geographically and temporallyweighted regression: A case study of beijing's core area,10.3390/LAND9050143,Wang D.,The University of Sydney Business School,Sydney,Australia
Developing a forecasting model for real estate auction prices using artificial intelligence,10.3390/su12072899,Kang J.,UNSW Sydney,Sydney,Australia
Estimation of missing prices in real-estate market agent-based simulations with machine learning and dimensionality reduction methods,10.1007/s00521-018-3938-7,García-Magariño I.,Peking University,Beijing,China
The spatially conscious machine learning model,10.1002/sam.11440,Kiely T.,Skolkovo Institute of Science and Technology,Moscow,Russian Federation
Examining the Information Content of Residuals from Hedonic and Spatial Models Using Trees and Forests,10.1007/s11146-019-09724-w,Pace R.K.,The Bartlett Faculty of the Built Environment,London,United Kingdom
"Economics of the fourth industrial revolution: Internet, artificial intelligence and blockchain",10.4324/9780429430015,Johnson N.,Nottingham Business School,Nottingham,United Kingdom
Improving prediction models for mass assessment: A data stream approach,,Shi D.,Hong Kong Polytechnic University,Kowloon,Hong Kong
Blockchain-enabled corporate governance and regulation,10.3390/ijfs8020036,Daluwathumullagamage D.J.,Universidad de Castilla-La Mancha,Ciudad Real,Spain
"Integrating biodiversity, remote sensing, and auxiliary information for the study of ecosystem functioning and conservation at large spatial scales",10.1007/978-3-030-33157-3_17,Schrodt F.,Henan University of Economics and Law,Zhengzhou,China
Automated models for value prediction: A critical review of the debate,,Valier A.,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
The effect of adopting micro and macro-economic variables on real estate price prediction models using ann: A systematic literature review,10.31838/jcr.07.11.88,Yakub A.R.A.,Istituto Agronomico Mediterraneo di Bari,Valenzano,Italy
Data Driven Domain Appraisal: Extracting Information from Short Dense Texts,10.1109/SSCI44817.2019.9002904,Liu J.,Fontys University of Applied Sciences,Eindhoven,Netherlands
Mass appraisal models of real estate in the 21st century: A systematic literature review,10.3390/su11247006,Wang D.,Yango University,Fuzhou,China
"Sensitivity analysis of machine learning models for the mass appraisal of real estate. Case study of residential units in Nicosia, Cyprus",10.3390/rs11243047,Dimopoulos T.,Uniwersytet Szczecinski,Szczecin,Poland
Pricing modeling in the housing market with urban infrastructure effect,10.1088/1742-6596/1353/1/012139,Koktashev V.,Real Estate Artificial Intelligence Research Institute,Seoul,South Korea
Attention-based multi-modal fusion for improved real estate appraisal: a case study in Los Angeles,10.1007/s11042-019-07895-5,Bin J.,Kaunas University of Technology,Kaunas,Lithuania
Aggregating Algorithm for prediction of packs,10.1007/s10994-018-5769-2,Adamskiy D.,Cardiff University,Cardiff,United Kingdom
Translation software: An alternative to transit data standards,10.1016/j.trip.2019.100028,Lawson C.T.,Instituto de Tecnologia para o Desenvolvimento,Curitiba,Brazil
Dissimilarity as a Component of the Property Price Model,10.2478/remav-2019-0030,Zyga J.,Massey University,Palmerston North,New Zealand
Contextualized property market models vs. Generalized mass appraisals: An innovative approach,10.3390/su11184896,Morano P.,National University of Singapore,Singapore City,Singapore
Automated Valuation Model based on fuzzy and rough set theory for real estate market with insufficient source data,10.1016/j.landusepol.2019.104021,Renigier-Biłozor M.,School of Civil and Environmental Engineering,Singapore City,Singapore
Computational socioeconomics,10.1016/j.physrep.2019.05.002,Gao J.,Leuphana Universität Lüneburg,Luneburg,Germany
Multivariate dynamic analysis and forecasting models of future property bubbles: Empirical applications to the housing markets of Spanish metropolitan cities,10.3390/su11133575,Tajani F.,FAMU-FSU College of Engineering,Tallahassee,United States
Development of an innovative land valuation model (iLVM) for mass appraisal application in sub-urban areas using AHP: An integration of theoretical and practical approaches,10.3390/su11133731,Bencure J.C.,"Fakultät für Informatik, Technische Universität München",Garching bei Munchen,Germany
Trending topics and themes in offsite construction(OSC) research: The application of topic modelling,10.1108/CI-03-2018-0013,Liu G.,National University of Singapore,Singapore City,Singapore
Real estate investment choices and decision support systems,10.3390/su11113110,Del Giudice V.,The University of Sydney Business School,Sydney,Australia
Application of hierarchical spatial autoregressive models to develop land value maps in urbanized areas,10.3390/ijgi8040195,Cellmer R.,UNSW Sydney,Sydney,Australia
Estimation and updating methods for hedonic valuation,10.1108/JERER-08-2018-0035,Mayer M.,Peking University,Beijing,China
Synchronicity of global construction cost indexes,10.1108/ECAM-02-2018-0045,Zhang R.,Skolkovo Institute of Science and Technology,Moscow,Russian Federation
The economic value of neighborhoods: Predicting real estate prices from the urban environment,10.1109/DSAA.2018.00043,De Nadai M.,The Bartlett Faculty of the Built Environment,London,United Kingdom
"Towns, ecology, and the land",10.1017/9781108183062,Forman R.T.T.,Nottingham Business School,Nottingham,United Kingdom
Land price prediction system using case-based reasoning,,Choi M.,Hong Kong Polytechnic University,Kowloon,Hong Kong
"Within-City Spatial Distribution, Heterogeneity and Diffusion of House Price: Evidence from a Spatiotemporal Index for Beijing",10.1111/1540-6229.12293,Zhu E.,Universidad de Castilla-La Mancha,Ciudad Real,Spain
Homogeneous feature transfer and heterogeneous location fine-tuning for cross-city property appraisal framework,10.1007/978-981-13-6661-1_13,Guo Y.,Henan University of Economics and Law,Zhengzhou,China
Data mining and analytics for real-estate applications,10.1007/978-3-319-72434-8_11,Muggenhuber G.,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Post carbon city and real estate market: Testing the dataset of reggio calabria market using spline smoothing semiparametric method,10.1007/978-3-319-92099-3_25,Del Giudice V.,Istituto Agronomico Mediterraneo di Bari,Valenzano,Italy
Geographically weighted regression for the post carbon city and real estate market analysis: A case study,10.1007/978-3-319-92099-3_17,Massimo D.,Fontys University of Applied Sciences,Eindhoven,Netherlands
"Isovalore maps for the spatial analysis of real estate market: A case study for a central urban area of reggio calabria, Italy",10.1007/978-3-319-92099-3_46,De Paola P.,Yango University,Fuzhou,China
Mapping tree canopies in urban environments using airborne laser scanning (ALS): A vancouver case study,10.1186/s40663-018-0146-y,Matasci G.,Uniwersytet Szczecinski,Szczecin,Poland
A mass-market appraisal of the English housing rental market using a diverse range of modelling techniques,10.1186/s40537-018-0154-3,Clark S.,Real Estate Artificial Intelligence Research Institute,Seoul,South Korea
"Environmental psychology: An introduction, second edition",10.1002/9781119241072,Steg L.,Kaunas University of Technology,Kaunas,Lithuania
Recommending property with short days-on-market for estate agency: A real estate appraisal approach by using transactions data and profile information,10.1007/s12652-017-0508-2,Mou C.,Cardiff University,Cardiff,United Kingdom
Automated valuation models for real estate portfolios: A method for the value updates of the property assets,10.1108/JPIF-10-2017-0067,Tajani F.,Instituto de Tecnologia para o Desenvolvimento,Curitiba,Brazil
"Variations in mine subsidence-disturbed residential land price: Case study of critical determinants and spatial relationships in the Nanhu Ecoregion of Tangshan, China",10.1061/(ASCE)UP.1943-5444.0000457,Zhang J.,Massey University,Palmerston North,New Zealand
Resampling techniques for real estate appraisals: Testing the bootstrap approach,10.3390/su10093085,Del Giudice V.,National University of Singapore,Singapore City,Singapore
Combining BP with PSO algorithms in weights optimisation and ANNs training for mass appraisal of properties,10.1108/IJHMA-02-2017-0021,Yacim J.A.,School of Civil and Environmental Engineering,Singapore City,Singapore
Volumetric soil profile modeling using geo-statistics and GIS: case study Kuwait Sabkha,10.1007/s12517-018-3474-x,Elfadil M.,Leuphana Universität Lüneburg,Luneburg,Germany
An Intelligent System for Identifying Influential Words in Real-Estate Classifieds,10.1515/jisys-2016-0100,Abdallah S.,FAMU-FSU College of Engineering,Tallahassee,United States
Big Data and Residential Energy Efficiency Evaluation,10.1007/s40518-018-0098-4,Qiu Y.,"Fakultät für Informatik, Technische Universität München",Garching bei Munchen,Germany
"Electronic enclosures, housings and packages",10.1016/C2017-0-00713-9,Süli F.,National University of Singapore,Singapore City,Singapore
Impact of artificial neural networks training algorithms on accurate prediction of property values,,Yacim J.,The University of Sydney Business School,Sydney,Australia
A multi-objective analysis model in mass real estate appraisal,10.1504/IJBIDM.2018.094981,Manganelli B.,UNSW Sydney,Sydney,Australia
An approach to property valuation based on market segmentation with crisp and fuzzy clustering,10.1007/978-3-319-98443-8_49,Malinowski A.,Peking University,Beijing,China
Veterinary Epidemiology: Fourth Edition,10.1002/9781118280249,Thrusfield M.,Skolkovo Institute of Science and Technology,Moscow,Russian Federation
Real estate appraisals with Bayesian approach and Markov Chain Hybrid Monte Carlo Method: An application to a central urban area of Naples,10.3390/su9112138,Del Giudice V.,The Bartlett Faculty of the Built Environment,London,United Kingdom
Pricing and sustainability of urban real estate,10.4324/9781315602110,Kauko T.,Nottingham Business School,Nottingham,United Kingdom
Validation of calibrated energy models: Common errors,10.3390/en10101587,Ruiz G.,Hong Kong Polytechnic University,Kowloon,Hong Kong
Reliable region predictions for automated valuation models,10.1007/s10472-016-9534-6,Bellotti A.,Universidad de Castilla-La Mancha,Ciudad Real,Spain
Value in a Changing Built Environment,10.1002/9781119073666,Lorenz D.,Henan University of Economics and Law,Zhengzhou,China
Big Data Analytics: A Review on Theoretical Contributions and Tools Used in Literature,10.1007/s40171-017-0159-3,Grover P.,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Forecasting spatial dynamics of the housing market using Support Vector Machine,10.3846/1648715X.2016.1259190,Chen J.,Istituto Agronomico Mediterraneo di Bari,Valenzano,Italy
An optimal rubrics-based approach to real estate appraisal,10.3390/su9060909,Chen Z.,Fontys University of Applied Sciences,Eindhoven,Netherlands
"Reversibility of chronic disease and hypersensitivity, volume 5: Treatment options of chemical sensitivity",10.1201/9781315155258,Rea W.J.,Yango University,Fuzhou,China
Building information modelling for facility management: Are we there yet?,10.1108/ECAM-06-2016-0139,Edirisinghe R.,Uniwersytet Szczecinski,Szczecin,Poland
Automated valuation methods in atypical real estate markets using the mono-parametric approach,10.1007/978-3-319-62398-6_14,Ciuna M.,Real Estate Artificial Intelligence Research Institute,Seoul,South Korea
Renewable energy: Present research and future scope of Artificial Intelligence,10.1016/j.rser.2017.04.018,Jha S.K.,Kaunas University of Technology,Kaunas,Lithuania
Using text mining to analyze real estate classifieds,10.1007/978-3-319-48308-5_19,Abdallah S.,Cardiff University,Cardiff,United Kingdom
Waiting to be sold: Prediction of time-dependent house selling probability,10.1109/DSAA.2016.58,Bhuiyan M.,Instituto de Tecnologia para o Desenvolvimento,Curitiba,Brazil
Review on China's traffic engineering research progress: 2016,,Editorial Department of China Journal of Highway ,Massey University,Palmerston North,New Zealand
Computational methods for residential energy cost optimization in smart grids: a survey,10.1145/2897165,Alam M.R.,National University of Singapore,Singapore City,Singapore
Estimation of the Investability of Real Estate Properties through Text Analysis,10.1109/ICSC.2016.85,Shahbazi M.,School of Civil and Environmental Engineering,Singapore City,Singapore
Analysis of the life cycle of a built environment,,Kaklauskas A.,Leuphana Universität Lüneburg,Luneburg,Germany
"The effect of google drive distance and duration in residential property in Sydney, Australia",10.1142/9789813146976_0102,Nejad M.Z.,FAMU-FSU College of Engineering,Tallahassee,United States
Urban modality: Modelling and evaluating the sustainable mobility of urban areas in the city-region,,Gil J.,"Fakultät für Informatik, Technische Universität München",Garching bei Munchen,Germany
Linear programming in a multi-criteria model for real estate appraisal,10.1007/978-3-319-42085-1_14,Manganelli B.,National University of Singapore,Singapore City,Singapore
The Economic Benefits of Reducing the Environmental Effects of Landfills: Heterogeneous Distance Decay Effects,10.1007/s10640-014-9874-9,León C.,The University of Sydney Business School,Sydney,Australia
VIKOR technique: A systematic review of the state of the art literature on methodologies and applications,10.3390/su8010037,Mardani A.,UNSW Sydney,Sydney,Australia
Benefits and challenges of using smart meters for advancing residential water demand modeling and management: A review,10.1016/j.envsoft.2015.07.012,Cominola A.,Peking University,Beijing,China
Multiple criteria decision-making techniques and their applications - A review of the literature from 2000 to 2014,10.1080/1331677X.2015.1075139,Mardani A.,Skolkovo Institute of Science and Technology,Moscow,Russian Federation
Real estate ranking via mixed land-use latent models,10.1145/2783258.2783383,Fu Y.,The Bartlett Faculty of the Built Environment,London,United Kingdom
"Urban boundary extraction and sprawl analysis using Landsat images: A case study in Wuhan, China",10.1016/j.habitatint.2015.01.017,Hu S.,Nottingham Business School,Nottingham,United Kingdom
Plastics and Environmental Sustainability,10.1002/9781119009405,Andrady A.L.,Hong Kong Polytechnic University,Kowloon,Hong Kong
Problem-solving exercises in green and sustainable chemistry,10.1201/b19769,Matlack A.S.,Universidad de Castilla-La Mancha,Ciudad Real,Spain
Enhancing intelligent property valuation models by merging similar cadastral regions of a municipality,10.1007/978-3-319-24306-1_55,Lasota T.,Henan University of Economics and Law,Zhengzhou,China
Visual quality assessment of trees and shrubs in the south campus of Adnan Menderes university in spring,,Polat Z.,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Conceptual approaches to automated ecological control in mining-and-metallurgy clusters,10.17580/gzh.2015.08.21,Ivashchuk O.,Istituto Agronomico Mediterraneo di Bari,Valenzano,Italy
Establishing the framework for the green housing information chasm:a critical review of the literature,,Sanderford A.R.,Fontys University of Applied Sciences,Eindhoven,Netherlands
Surveying housing market supply affordability using a spatial data mining approach,10.2495/SC140111,Argiolas M.,Yango University,Fuzhou,China
Sparse Real Estate Ranking with Online User Reviews and Offline Moving Behaviors,10.1109/ICDM.2014.18,Fu Y.,Uniwersytet Szczecinski,Szczecin,Poland
"Analyzing Massive Data Sets: An Adaptive Fuzzy Neural Approach for Prediction, with a Real Estate Illustration",10.1080/10919392.2014.866505,Guan J.,Real Estate Artificial Intelligence Research Institute,Seoul,South Korea
The climate bonus: Co-benefits of climate policy,10.4324/9780203109571,Smith A.,Kaunas University of Technology,Kaunas,Lithuania
Comparison of evolving fuzzy systems with an ensemble approach to predict from a data stream,10.1007/978-3-642-40495-5_38,Telec Z.,Cardiff University,Cardiff,United Kingdom
From data-centered to activity-centered geospatial visualizations,10.4018/978-1-4666-4309-3.ch013,Buchel O.,Instituto de Tecnologia para o Desenvolvimento,Curitiba,Brazil
Predicting house price via gene expression programming,10.1108/IJHMA-08-2012-0039,Shekarian E.,Massey University,Palmerston North,New Zealand
A review of hedonic pricing models in housing research,,Owusu-Ansah A.,National University of Singapore,Singapore City,Singapore
Modeling land price distribution using multifractal IDW interpolation and fractal filtering method,10.1016/j.landurbplan.2012.09.008,Hu S.,School of Civil and Environmental Engineering,Singapore City,Singapore
A better way to build : A history of the pankow companies,,Adamson M.,Leuphana Universität Lüneburg,Luneburg,Germany
A case-based reasoning system for adapting selling,10.1504/IJECRM.2013.060697,Noori B.,FAMU-FSU College of Engineering,Tallahassee,United States
"Environmental informatics for solid and hazardous waste management: Advances, challenges, and perspectives",10.1080/10643389.2012.671097,Lu J.W.,"Fakultät für Informatik, Technische Universität München",Garching bei Munchen,Germany
A GIS-based decision support system for hotel room rate estimation and temporal price prediction: The hotel brokers' context,10.1016/j.dss.2012.10.038,Kisilevich S.,National University of Singapore,Singapore City,Singapore
"Lees' Loss Prevention in the Process Industries: Hazard Identification, Assessment And Control: Fourth Edition",10.1016/C2009-0-24104-3,Mannan S.,The University of Sydney Business School,Sydney,Australia
A review of applications of Analytic Hierarchy Process in operations management,10.1016/j.ijpe.2012.03.036,Subramanian N.,UNSW Sydney,Sydney,Australia
On employing fuzzy modeling algorithms for the valuation of residential premises,10.1016/j.ins.2011.07.012,Lughofer E.,Peking University,Beijing,China
Introduction to green chemistry,,Matlack A.,Skolkovo Institute of Science and Technology,Moscow,Russian Federation
Application of data mining techniques for customer lifetime value parameters: A review,10.1504/IJBIS.2010.035744,Aeron H.,The Bartlett Faculty of the Built Environment,London,United Kingdom
Comparative analysis of neural network models for premises valuation using SAS Enterprise Miner,10.1007/978-3-642-03958-4_29,Lasota T.,Nottingham Business School,Nottingham,United Kingdom
Exploration of soft computing models for the valuation of residential premisesusing the KEEL tool,10.1109/ACIIDS.2009.46,Lasota T.,Hong Kong Polytechnic University,Kowloon,Hong Kong
Developing Mass Appraisal Models with Fuzzy Systems,10.1002/9781444301021.ch9,González M.A.S.,Universidad de Castilla-La Mancha,Ciudad Real,Spain
Negativity in democratic politics: Causes and consequences,10.1017/CBO9781107477971,Soroka S.N.,Henan University of Economics and Law,Zhengzhou,China
"Comparative analysis of premises valuation models using KEEL, rapidminer, and WEKA",10.1007/978-3-642-04441-0_70,Graczyk M.,Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Comparative analysis of evolutionary fuzzy models for premises valuation using KEEL,10.1007/978-3-642-04441-0_73,Krzystanek M.,Istituto Agronomico Mediterraneo di Bari,Valenzano,Italy
Investigation of fuzzy models for the valuation of residential premises using the KEEL tool,10.1109/HIS.2008.78,Lasota T.,Fontys University of Applied Sciences,Eindhoven,Netherlands
An attempt to use the KEEL tool to evaluate fuzzy models for real estate appraisal,10.3233/978-1-58603-904-2-125,Lasota T.,Yango University,Fuzhou,China
Towards an intelligent property valuation model: An exploratory and conceptual study,,Kim Y.,Uniwersytet Szczecinski,Szczecin,Poland
Climate change 2007 mitigation of climate change,10.1017/CBO9780511546013,Metz B.,Real Estate Artificial Intelligence Research Institute,Seoul,South Korea
Spatial cost-benefit thinking in multi-functional forestry; towards a framework for spatial targeting of policy interventions,10.1016/j.ecolecon.2005.10.005,van der Horst D.,Kaunas University of Technology,Kaunas,Lithuania
Mass appraisal with genetic fuzzy rule-based systems,10.1108/02637470610643092,Gonzalez M.,Cardiff University,Cardiff,United Kingdom
Defining neighborhood boundaries: Are census tracts obsolete?,10.1016/j.jue.2005.10.003,Clapp J.,Instituto de Tecnologia para o Desenvolvimento,Curitiba,Brazil
A new approach to spatial analysis in CAMA,10.1108/02637470510631474,González M.A.S.,Massey University,Palmerston North,New Zealand
From concept towards reality: Developing the attributed 3D geological model of the shallow subsurface,10.1144/1470-9236/04-072,Culshaw M.G.,National University of Singapore,Singapore City,Singapore
"Lees' Loss Prevention in the Process Industries: Hazard Identification, Assessment and Control: Third Edition",10.1016/B978-0-7506-7555-0.X5081-6,Mannan M.S.,School of Civil and Environmental Engineering,Singapore City,Singapore
Quality function deployment: A literature review,10.1016/S0377-2217(02)00178-9,Chan L.K.,Leuphana Universität Lüneburg,Luneburg,Germany
Predicting spatial patterns of house prices using LPR and Bayesian smoothing,10.1111/1540-6229.00048,Clapp J.,FAMU-FSU College of Engineering,Tallahassee,United States
